,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_08,EMA_12,EMA_20,RSI_05,RSI_09,RSI_14
44,6.326711293639602,6.368314681235731,5.938827985255011,6.076343536376953,663212000,0.0,0.0,6.186608465373327,6.138243825926304,6.12766022181996,46.159886624704825,49.125622848802664,49.16351149852643
45,6.358600162480461,6.723315529969253,6.301052663956656,6.686445236206055,727884000,0.0,0.0,6.2976833033361554,6.222582504430881,6.180877842237684,63.908912426377576,58.60988720846272,55.4467541762306
46,6.908163247025321,6.931830176420118,6.409918504070796,6.453016757965088,784520000,0.0,0.0,6.332201848809252,6.258033928051528,6.206795834211722,55.20510260313041,54.256192378508715,52.75987383954634
47,6.562132143249932,6.675233815241961,6.492128724199884,6.6503214836120605,542444000,0.0,0.0,6.402895100987654,6.3183858596762255,6.24903637224985,60.83998069617083,57.27415547619389,54.75561941819117
48,6.7761294264084695,6.799048451379827,6.487645453386115,6.550673484802246,525564000,0.0,0.0,6.435734741835341,6.354122417387921,6.277763716302459,56.363897956419606,55.20476798696316,53.52571217541827
49,6.490884129888628,6.731287281007709,6.402445792992437,6.722568035125732,398408000,0.0,0.0,6.49947547367765,6.410806358578354,6.320126032380866,62.33851434656466,58.13991134664374,55.38728704289857
50,6.850865944325975,7.107960156401416,6.823213342945472,7.073830604553223,530948000,0.0,0.0,6.627109947205556,6.512810088728333,6.391907420206805,72.09720521586257,63.6199443596293,59.00131983439662
51,6.905672519109676,7.079310951372667,6.86033244153911,6.9963531494140625,366148000,0.0,0.0,6.7091639921407795,6.58720132883383,6.449473680131306,67.28994353555832,61.61829186625878,57.887420840606275
52,7.151804684310949,7.448758393785425,7.138601324807296,7.341635704040527,745620000,0.0,0.0,6.849713261451835,6.703268155788707,6.534441491932184,76.14911539269276,66.84778667947502,61.38615618922235
53,7.423847497525705,7.445272134647238,7.148318367791928,7.282346248626709,539120000,0.0,0.0,6.945853925268473,6.792357093148399,6.6056705163792815,71.96552489255406,65.13345480470525,60.45732732076758
54,7.155791296172217,7.311741765307913,7.106714063095593,7.151057720184326,449388000,0.0,0.0,6.9914547685831065,6.8475418050000805,6.6576121548369045,62.46627625316069,61.222178570211966,58.351834421004234
55,7.032973327041574,7.09425702255101,6.6543072388533515,6.714096546173096,735160000,0.0,0.0,6.9298196080475485,6.827011765180544,6.662991620678446,40.322940832509026,49.983618753649765,51.87631370030104
56,6.906419624930226,7.171486106783201,6.8608305639670135,7.128636837005615,483356000,0.0,0.0,6.974001214482675,6.873415622384401,6.707338784138177,57.984838653941544,58.17747833331456,56.77686589973268
57,7.170738255068913,7.30277280445267,7.050162741474796,7.075324058532715,424160000,0.0,0.0,6.99651740204935,6.9044784587149115,6.742385000747181,55.35134245836193,56.83045694979389,55.9872345156762
58,7.065110434333766,7.216327322388494,6.990373439620737,7.214334487915039,352328000,0.0,0.0,7.044921198908392,6.952148617053393,6.787332570953644,61.10839495646484,59.575995350603634,57.64146004439919
59,7.348861058626453,7.560864157407849,7.324197711683371,7.400927543640137,479388000,0.0,0.0,7.1240337199598915,7.021191528835969,6.845770187399976,68.02588342078029,63.11811922303317,59.82425420827412
60,7.5484083609919175,7.578303257394671,7.252949471097392,7.258430004119873,442904000,0.0,0.0,7.153899560884332,7.057689755802723,6.885071122325681,58.15217221538626,58.699153251434645,57.391942136561546
61,7.393205660244978,7.4881214262521505,7.317970682168214,7.435307502746582,379160000,0.0,0.0,7.216434659075943,7.115784793794086,6.937474587127672,65.84427347920946,62.37734057928778,59.58828045273342
62,7.381246059240511,7.435305848843511,7.26739743763141,7.28134822845459,375916000,0.0,0.0,7.230859896715642,7.141256091434164,6.970224457730235,54.87053621723857,57.373833200985764,56.841698894116384
63,7.083794613057986,7.197145274884135,6.996352701087141,7.044682502746582,342096000,0.0,0.0,7.189487142500296,7.126398616251459,6.977315700112745,41.56101998471176,50.384628154911795,52.81194947720138
64,6.997349245019564,7.270387540719395,6.997349245019564,7.256685733795166,317556000,0.0,0.0,7.204420162788045,7.14644278818126,7.003922369987261,54.043189395096924,55.80964444086585,55.83262695008682
65,7.360819145196441,7.480397772953927,7.2566856981813,7.317720890045166,368896000,0.0,0.0,7.2295981021785165,7.172793265391092,7.033807943326109,57.323562186874646,57.32107557821155,56.692157144293716
66,7.397190705525821,7.523495739093989,7.359323998974945,7.418614864349365,323464000,0.0,0.0,7.271601827105372,7.210611972923134,7.0704562215188,62.808945645585524,59.873372632983724,58.14228061731487
67,7.5578747907792385,7.65827108202997,7.5065557350640395,7.594994068145752,373732000,0.0,0.0,7.34346676955879,7.26974767988046,7.120412206911843,70.96430669045043,64.09610875871152,60.62445258362309
68,7.666740541029983,7.7913017211447295,7.632859979866189,7.785073757171631,339216000,0.0,0.0,7.441601655694977,7.349028614848333,7.183713306936585,77.5854510131251,68.15861542229844,63.159875502507454
